,Country,Center,Type,Region,Lat,Long,Location_des
152,Liberia,Full village,,Grand Bassa,6.050625941,-9.986765708,"Full village, Grand Bassa"
153,Liberia,SOS clinic,,Grand Bassa,6.132938221,-9.985108662,"SOS clinic, Grand Bassa"
154,Liberia,Fanti Town Clinic,Clinic,Grand Cape Mount,6.75855,-11.35556,"Fanti Town Clinic, Grand Cape Mount"
155,Liberia,St. Timothy's Hospital,Hospital,Grand Cape Mount,6.7504100000000005,-11.36737,"St. Timothy's Hospital, Grand Cape Mount"
156,Liberia,Tallah,Clinic,Grand Cape Mount,6.77089,-11.30343,"Tallah, Grand Cape Mount"
157,Liberia,Sembehum  Clinic,Clinic,Grand Cape Mount,6.707245174,-11.33382001,"Sembehum  Clinic, Grand Cape Mount"
158,Liberia,Bomie  Clinic,Public Clinic,Grand Cape Mount,6.6637187529999995,-11.16636183,"Bomie  Clinic, Grand Cape Mount"
159,Liberia,Robertsport City  Clinic,Gov. Hospital,Grand Cape Mount,6.750455477,-11.37019282,"Robertsport City  Clinic, Grand Cape Mount"
160,Liberia,Karnga Clinic,Clinic,Grand Cape Mount,6.88144,-11.06506,"Karnga Clinic, Grand Cape Mount"
161,Liberia,Kpeneji Clinic,Clinic,Grand Cape Mount,6.93003,-11.25206,"Kpeneji Clinic, Grand Cape Mount"
162,Liberia,Madina Clinic,Clinic,Grand Cape Mount,6.7171,-11.06532,"Madina Clinic, Grand Cape Mount"
163,Liberia,Zaway  Clinic,Public Clinic,Grand Cape Mount,6.896173516,-11.13664572,"Zaway  Clinic, Grand Cape Mount"
164,Liberia,Bendu,Clinic,Grand Cape Mount,6.76214,-11.211910000000001,"Bendu, Grand Cape Mount"
165,Liberia,Bomboja,Clinic,Grand Cape Mount,6.62219,-11.08581,"Bomboja, Grand Cape Mount"
167,Liberia,Jundu  Clinic,Public Clinic,Grand Cape Mount,6.706343509,-11.13490256,"Jundu  Clinic, Grand Cape Mount"
168,Liberia,Sinje  Clinic,Health Center,Grand Cape Mount,6.816628249,-11.13538684,"Sinje  Clinic, Grand Cape Mount"
169,Liberia,Vonzula  Clinic,Public Clinic,Grand Cape Mount,6.765042097,-11.14872403,"Vonzula  Clinic, Grand Cape Mount"
170,Liberia,Gold Camp  Clinic,Public Clinic,Grand Cape Mount,7.139939481,-10.78385147,"Gold Camp  Clinic, Grand Cape Mount"
